time,user,rating,comment,votes
2014-10-27 21:22:12,欢乐分裂,4,#重看#大银幕了夙愿，看了那么多次开头都没看到结局，前面三分之一看过不下廿遍，当年美艳绝伦的春三十娘几乎是我对西游的最深印象，想不到心气极高的她日后竟甘作寻常妇；爱和恨一样强烈，500年后仍要追问你究竟爱不爱我，仍要为那段孽缘自戕；爱情中必有配角，但那一切都是我甘心的。,25
2009-05-09 00:13:12,雫,1,这个被封神被赋予无上情怀的爱情故事不是一个变心的故事吗？而网上和我一样追究这个问题的人一律被回复“那是你没爱过”“多经历一些就懂了”“问这个的就是嫉妒紫霞”“爱需要理由吗”此类论调。我觉得要么就正经说出来到底怎么合理变心的，要么就大大方方承认没错就是变心了啊……,65
2019-06-24 21:57:37,YU,1,这片子刚上映的时候赔钱了 我只能说赔的漂亮 这种众人捧的烂片 一分钱赚不到才是真理 说是电影界的耻辱不为过 六小龄童说的真对 改编不是乱编 戏说不是胡说 用在这部电影简直不要太合适 乱七八糟的剧情 浮夸的演技 花里胡哨的骚话 恶心的要死,43
2016-08-08 15:39:45,吴邪无忧,5,经典，这部电影最经典的一句台词是“曾经有一份真诚的爱情放在我面前，我没有珍惜，等我失去的时候我才后悔莫及，人世间最痛苦的事莫过于此。如果上天能够给我一个再来一次的机会，我会对那个女孩子说三个字：我爱你。如果非要在这份爱上加上一个期限，我希望星一万年”,55
2018-04-14 17:33:00,godzilla,4,如果上天能够给我一个再来一次的机会，我会对那个女孩子说三个字：我爱你。,24
2007-12-31 15:17:04,tavico,5,经典啊~！,71
2016-11-04 14:18:22,美好生活,5,经典台词～～～～曾经有一份爱情摆在我面前我没有珍惜，等到我失去她时，后悔莫及。世界上最大的痛苦莫过于此。假如上天再给一次机会我会对那个女孩说三个字，我会对那个女孩说三个字，我爱你！假如要给这份爱一个期限，我希望是一万年！,30
2015-01-05 22:37:47,爱的镇魂歌,5,上部月光宝盒还是喜剧氛围更浓，泼酒踩火甚是欢乐，斧头帮的弟兄们也都很配合搞笑。盘丝洞里两位妖女均被洗白，至尊宝一遍又一遍地想挽救白晶晶，却阴差阳错回到了五百年前，为拯救所爱之人，却邂逅了至爱之人。造化弄人啊。,22
2010-10-06 23:15:22,游牧人·芳汀,4,#电影院#  傻瓜才会辛辛苦苦地去取西经，我只想永远做个快乐的山贼。,25
2018-03-15 15:42:36,残零落花,5,经典，永远的紫霞仙子,26
2011-06-05 19:10:52,潘半仙,4,不可否认是一部值得重温的影片，卡司阵容强大，故事节奏和娱乐性都把握的恰到好处。结尾也留足悬念，当镜中的齐天大圣出现时，新的故事即将开始！...,26
2020-01-21 17:24:02,Shaw喆宇,2,不是我的童年，没有童年滤镜，不喜欢这种搞笑风格，故事也没感到什么韵味。,17
2017-03-22 10:35:41,蓝色啄木鸟,5,为什么喜剧片也要让人难过的，是感动么？！补标经典,20
2007-01-30 13:24:26,Miss Lucky,0,让人落泪的喜剧,370
2016-02-26 23:34:28,狂人永不过时,1,抄人桥段拆我大官配欺世盗名的玛丽苏。水帘洞瀑布镜头闪回主角自带金箍，红果果地从日本93版西游记SP里抄来的，金箍是猴子和师父的信物，脚踩祥云去救的人只有师父。降魔篇继续抄同一部。除此之外没什么好说的，会出名只不过是迎合了当时某一批年轻人轻浮躁动的心理，超过20岁还说喜欢都不好意思。,40
2017-02-15 13:33:56,倩倩啦啦啦,5,最喜欢星爷的电影！！！,24
2022-04-11 17:31:26,氿木,2,多一星给美女姐姐们吧 实在get不到 不好笑 甚至很恶俗…都演妖怪神话了 编剧还是动不动就写男人裤裆里那点事 觉得自己很幽默吗,9
2012-05-01 21:47:49,杨迪,5,它是来谈情的，不是来搞笑的。,52
2017-02-09 00:14:04,暴富的女孩是我,5,曾经有一段真挚的爱情放在我的面前，我没有珍惜。直到失去我才追悔莫急。如果上天再给我一次机会的话，我一定会对那个女孩说三个字“我爱你”。如果一定要给这个承诺加上一个期限的话，我希望是“一万年”。,14
2018-03-16 11:52:28,真纯,5,从被骂毁原著票房扑街，到现在成为人们心中永恒的经典。他好像一条狗诶！成为心中永远的痛。,17
2018-03-14 19:21:32,nnna、,5,越发觉得星爷当年的无厘头剧比现在一些所谓的喜剧搞笑多了，去补一下星爷系列的喜剧去。,14
2016-07-04 19:07:30,Ocap,5,16.4.17 像这样的电影，已经不是瑕不掩瑜可以形容的了，它的缺点已经成为了优点的一部分，作为不可或缺的元素。最大收获有二：一是见识了乃们所谓的情怀模样，也理解了星爷效应的产生和维系；二是大大扭转了自己对港产喜剧的成见，于我，又打开了一扇拓宽迷影疆域的大门。→20.8.11 二刷with fhl。,8
2017-02-24 20:49:15,小葱,5,第一次看，台词好新鲜，引用到日记里引用到生活各方面。几年后再看，紫霞像纸片一样飘落的一幕，崩溃大哭。再几年后看，“那个人好像一条狗”，那份痛楚嘎然而来，浑厚的痛而又无处诉说。,8
2010-01-14 23:23:25,莱尼圆,5,华语喜剧片的巅峰之作。大话西游的故事在周星驰的电影中极为复杂，剧情绵延成上下两集，来回反复的时间旅行，而内核是非常悲剧性的，原著中美猴王走上取经之路的磨砺从被暴力压制改成了经受爱情考验，“戴上金箍后，你再不是个凡人”、“人世间的情欲不能再沾半点”。周星驰也有了后现代解构主义大师的称号。立意和表现手法先锋前卫，想象力天马行空，许多台词早已通过各类媒介不断传播，被奉为旷世经典。有些讽刺的是，作品刚问世时被认为是失败教材，屁滚尿流的孙悟空和唐僧完全不被理解和接受，参与联合制片的西安电影制片厂副厂长张子恩大骂是文化垃圾，这也让投入巨资的周星驰苦不堪言，只能重归无厘头喜剧行列。蓝洁瑛、莫文蔚最好的时刻,10
2018-10-30 23:00:47,Muto,2,不知装进了多少痴儿怨女悔恨抑或感动眼泪的《月光宝盒》极其符合后现代人对于爱情的设定。刘镇伟对于这部古典名著的解构可谓相当得古典，这种理想中的爱情着实可以追溯到公元前。可惜他对于爱情的解读却是本着耍帅耍无赖的心态。事实上，影片里没有任何一见钟情的爱，有的只是这前世今生五百年不曾过去诡辩而啰嗦的回忆。故而这是一部真正意义上的柏拉图主义电影，它像是现代人带着硬性标准和条件于异世界展开的一场相亲大会。,13
2017-02-20 23:25:03,铃儿响叮当,3,直到现在我也没搞懂里面的深意,119
2014-11-03 22:53:55,了不起的花轮君,4,蓝洁瑛当之无愧靓绝五台山啊！,34
2014-08-02 22:06:15,泽帆,5,小时候没看完整，没留下印象。今天在电影院两部连看，被惊艳到。这故事是嗑药后写的，太飞太好了，西游记，时空穿梭，人格分裂，爱情，喜剧，每一个元素都上乘，并且融入剧情中，人物经典，紫霞仙子这个人物，出现的场次不多，但非常生动，看到后来都要哭了。,9
2017-01-22 22:29:48,大志的小耳朵,5,星爷代表作，经典，多少年后才知道原来可以有那么深刻的解读，当年真的是没看懂，唉，感叹一下，为什么现在的导演再也拍不出这样好的作品了呢？,8
2016-10-09 16:07:02,事儿妈,4,从此，至尊宝也变成了IP，而星爷成了多少人心里的白月光……,23
2016-10-29 14:33:49,练达,5,小时候终究没看懂喜中的悲。,17
2013-03-08 19:32:51,聖冰箱,5,低俗无厘头笑料极尽出彩 却不破坏气氛 全然不伤大雅 其实当时香港电影 全都这个感觉 剧情感特别特别强,6
