time,user,rating,comment,votes
2018-08-15 22:38:50,Julien,5,向来讨厌励志的电影。电影的作用在于激起情感，给不了现实的解决办法。我总会觉得这种在100多分钟的时间内塑造出的成功太过乐观浅薄虚无。这种电影，只有周星驰拍出来我才是服气的。别人家的励志片，看着蛮惨，其实总是幸运的。星爷的电影，总能让人笑，但其实凄惨真实。周星驰的电影角色总是固执活在自己世界，当他与世界接触时，矛盾出现了，这些矛盾是笑点，也是悲剧。凄惨而坚韧，是周星驰电影角色共有的特点，虽身陷囫囵，却生命力顽强，虽看重自尊，却常常丢掉，但还要抹干眼泪继续活着，因为不这样的话就无法活下去。当所有人都把你当成一个死跑龙套时，你要把自己当成一个演员，所以你就会成为一个演员。,35
2017-05-10 11:13:55,慕詩,5,“你先养好你自己吧，傻瓜。”星爷的经典作。,48
2011-12-28 09:19:04,陀螺凡达可,4,或许是最好的一部周星驰,140
2015-05-30 22:30:00,梦里诗书,5,这并非一场浅显的喜剧，而是属于周星驰的电影人生，《喜剧之王》以小人物的龙套演员为切入，用辛酸去渲染的笑料在不经意间给人以共鸣性的感动，周星驰拼搏与草根间的明星梦，张柏芝初试银幕的纯美之恋，一句简单的：“我养你啊”！侵染出多少至诚的感动。,37
2018-03-30 10:45:39,赱馬觀♣,3,旧影回眸。发现身为星粉，很难成为喜粉。无厘头是港片整体表演夸张（不用癫狂）基础上的更夸张！它需要一个超现实框架为依托：古装神拳恐龙骨台球王。电影龙套的心酸苦辣偏偏是个现实感极强的题材，需要戏外故事与表演回归自然朴实——至少相对戏中戏，如莆田。而本片的戏外几乎比舞台还夸张。举例。达叔说卧底比演戏更难，不能有一丝纰漏。可当枪匪端出一桌饭菜，计划已赶不上变化，再执意拨电话要荷包蛋，便是大脑短路，入门卧底都不会如此，更何况还没点就有人送上门……此时已无现实残酷，完全喜剧反讽——就像武松打虎，老虎没打就死了。这场戏号称发生在现实，其实比舞台更舞台，并未逃离无厘头的解构，更像对卧底之人自以为是的嘲讽，而非职业素养的赞美。并导致，稍后的达叔之死成了无情绪依托的“空演”，更早之前那句经典台词就成了一个笑话。,15
2018-03-06 12:22:35,磕巴,4,这么美的张柏芝，换我，我也要对她说“我养你”。,70
2017-03-29 17:20:09,多看电影爱电影,3,虽然是部周星驰式的无厘头喜剧，却无不折射出底层小人物的命运！,18
2013-09-13 00:21:27,Hao,1,唯一能让我理解这片被称为经典的方法就是这是一部经典烂片。情节俗套，搞笑乏力，类型混杂，倒确实是一部经典港片。有港片的一贯传统就是大杂烩。一开始是搞笑片，同时是动作片，后来变成励志片，再来点爱情，最后居然还有警匪卧底枪战。我了个擦，如果想把所有东西都塞进一部片里面，不是烂片都难,101
2018-04-01 12:45:53,biang,4,“其实我是一个演员！” 与“我养你啊！”，一是理想，一是爱情，人生追求莫不如此。谢谢星爷带来的感动。,48
2018-03-26 11:10:49,世界尽头,4,其实我是个演员，这句话真是道出了一个普通人想追求自己梦想的心酸。在梦想的开始没有人会理解你，甚至还会无情的嘲笑你不自量力。但是人没有梦想，和咸鱼有什么分别！,107
2018-03-30 07:24:04,橘猫爱吃鱼,4,影片让人感到很温馨，残酷，同时又保持了周星驰电影独特的喜剧风格。,35
2015-08-07 03:11:38,qw0aszx,3,从小就觉得这片过誉....,16
2012-02-02 21:39:59,有心打扰,3,“我养你啊！”让自己有个梦，坚持不已。,15
2018-04-01 12:43:08,小晗要当锦鲤,4,尹天仇：“喂……！”柳飘飘:“又怎么了？”尹天仇:“我养你啊！”🤗……,36
2017-03-22 20:37:36,随风的蒲公英,4,当时觉得张柏芝那时候真的的嫩的可以掐的出水，特别清纯，印象最深最感动的张柏芝演的她要走的那段，他们之间的对话感动了好多人！,65
2018-03-31 16:09:47,幼儿园园长,5,悲剧用喜剧来表达，很棒的一部电影,42
2018-04-01 21:16:37,偏要勉强,5,星爷电影中最喜欢的一部，当年只有18岁的张柏芝，真美啊。,36
2010-05-21 22:42:20,千寻亿选,4,当年朋友拿来盘VCD，周星驰主演的“喜剧之王”，是演过蛊惑专家、唐伯虎点秋香、鹿鼎记、审死官的周星驰，而且这部电影叫做“喜剧之王”，我们准备好了笑痛肚皮。一个半小时后，大家都沉着脸，什么狗屁“喜剧之王”，一点也不好笑，太难看了。工作多年后才明白这部电影是周星驰的巅峰之作。,47
2006-03-02 15:52:06,犀牛,5,周星驰真正的转型之作,112
2018-03-28 07:40:45,heart,4,周星驰演的电影都很好看  表面看是喜剧吧。实际烘托了当时社会的黑暗。无情  冷漠。,22
2017-03-14 13:20:22,蓝下老婆,4,哈哈哈，周星驰笑得很有魔性的，经典就是好看,25
2018-04-01 14:43:05,翠蝶🌸羽生✨💫,5,开心的同时又伤感，经典是永远无法超越的，周星驰算是一个传奇人物吧，他带给我们很多开心，感动和温暖，同时还有正能量，这个电影就是在讲他自己的故事吧。,23
2018-03-28 10:32:02,无题,4,以小人物的龙套演员为切入点，语言幽默搞笑！张柏芝饰演的柳飘飘好美啊！尤其是在风中那凌乱的美，真让人心动不已！,18
2018-04-01 10:39:33,傻白甜,5,看着搞笑，实则悲剧，人很多时候都是在悲剧里努力搞笑,30
2018-04-01 09:52:13,婷婷爱八卦,4,那个时候的张柏芝真是太美好了！,30
2017-05-16 20:02:58,吃瓜少年,4,小时候看对我养你一笑而过，长大才知放在现今的大环境胜过海誓山盟,39
2017-02-11 18:16:04,🇦🇷🇦🇷,4,张柏芝真的是嫩的能掐出水来 多么美好的年纪啊 典型的周氏喜剧 搞笑 好想再看星爷演一部电影啊,18
2018-06-21 15:19:48,我头像超萌,4,“看，前面漆黑一片，什么也看不到”“也不是，天亮后便会很美的”被小人物的艰辛逐梦所感动，被一句我养你啊所感动,28
2017-03-07 08:28:41,媛木子,5,非常非常喜欢这部电影，张柏芝真的是美的我一个女生都动心。,76
2017-04-07 22:35:10,美好时光只为你,4,一部让你笑着感动的喜剧片。张柏芝那时很纯呢。,18
2018-03-29 08:00:37,阿弥陀佛,4,喜欢周星驰早年的作品，笑中带泪,25
2018-03-30 23:21:20,幸存者,4,说实话，第一次看时，只知道傻笑，根本看不懂，现在看懂了还有点希望自己不要懂！人生百味都在其中了！,60
2017-03-30 21:52:04,呢昵喵,4,笑着悲伤的感觉，互相祝福的那段话随他们一起笑一起沉默。这里的张柏芝太美了,16
2016-05-15 12:32:40,冰红深蓝,5,龙套小人物的辛酸打拼史。各种经典世俗神话的拼贴，各种媒介自反，各种自嘲与戏仿，这回终于让我有点喜欢上周星驰了。长鼻涕，“我养你”，鹌鹑，露丁丁男孩，海报墙中的小镜子，《演员的自我修养》，吴宇森式白鸽和无间道。ps：本片里莫文蔚和张柏芝的颜值亦使我惊艳万分。（9.0/10）,16
2014-07-01 22:27:15,Lies and lies,3,那个著名的庭院高出海面十数米，从门洞望出去，见海见天不见地，像是一处蓬莱仙境。,7
