time,user,rating,comment,votes
2018-01-30 23:44:02,仲楚,4,紫霞仙子眨眼的一瞬惊艳，无忧无虑的至尊宝。至尊宝面对现实的两条路:不成大圣，我无法救你。成了大圣，我无法爱你。,2683
2010-07-26 18:41:26,罗弘霉素,5,一遍烂，两遍笑，三遍哭,14213
2006-10-07 10:48:36,Lan~die,5,经历过和正在经历着悟空式的命运和紫霞式的爱情，才发现生命的本质是以最低的姿态出现的。英雄？你为什么不问问做英雄的代价？  “想不到经过这五百年，我要找的并不是她，而是你。”人生际遇真是难以言喻。,6830
2008-01-01 19:41:02,Mona Lishark,5,有人跟我比赛背台词么,8683
2012-10-26 20:49:43,凉水,5,紫霞飘向太阳时、齐天大圣离开城门时，都哭成了傻逼。有多庆幸能踩着五彩祥云做你的盖世英雄，就有多遗憾没办法与你守护终身。喜欢的是五百年前的晶晶、还是给了自己三颗痣的紫霞；喜欢无拘无束敢爱敢恨的至尊宝、还是套上紧箍咒背影像狗的孙悟空？爱的命题究竟太空泛，恐怕还是要交给月光宝盒。,4777
2017-04-14 21:41:11,康报虹,5,坐我旁边的那个年近四十、西装革履的男人从电影刚开始就止不住眼泪，有些地方哭着笑出声。而他的年轻女伴从开头就一直低头玩手机、到经典场景就煞有介事地拍张照片、不到一半时一直嚷嚷着无聊，硬是把那个男人拉走了。,3849
2007-02-13 12:55:20,眠去,5,为什么越看越觉得悲伤,7102
2011-03-17 23:03:33,woodYA!!en,4,鲜花虽会凋谢，但会再开。一生所爱，隐约在白云外。苦海翻起爱恨，在世间难逃避命运。相亲竟不可接近，或我应该相信是命运。,1483
2009-02-03 05:27:31,小锡兵,5,我猜中了开头，却猜不到这结局。/ 20141024 在影院哭死,5286
2010-10-06 23:17:37,游牧人·芳汀,4,#电影院#  第二部就这样活生生地把周星驰塑造成了千古情圣，句句台词都催泪。反应了初恋之后男人遇到真爱（挚爱）的复杂心理。至尊宝其实真的很心软也很善良，怎能因为紫霞流了一滴眼泪就爱上了她，我到现在都还喜欢白晶晶啊。,729
2008-09-27 20:17:54,卷子乐子八子,5,一生所爱：我的意中人是个盖世英雄，有一天他会穿着金盔金甲，踩着七色的云彩来娶我。我猜中了前头，可是我猜不着这结局……,4289
2006-02-05 18:31:34,影志,5,任何时候任何场合都可以再看一遍的电影,4809
2015-12-27 07:08:31,野次馬,5,"盗用一句黄姐姐很喜欢的管风琴，""人能这么锲而不舍地轻佻，骨子里一定有哀世伤生的肃穆在支撑。""",2147
2006-04-22 13:09:37,林愈静,0,看了不下20遍，彻底看伤了。,1702
2013-02-23 01:39:35,甜甜甜甜甜甜甜,5,小时候看着笑，长大了看着哭。,3404
2006-12-22 20:41:27,Miss Lucky,4,其实很伤感,1027
2016-09-09 10:35:14,momo,4,我一直不知道她在心里留下了什么，原来是一滴眼泪,605
2010-07-06 12:52:25,瓦达西瓦又又又桑只爱这巧克力,5,因为你还没有遇到给你三颗痣的人,2045
2018-03-18 20:22:00,快乐人生,4,曾经有份真挚的感情摆在我面前，我不懂得珍惜，直到失去了才追悔莫及。人世间最痛苦的事莫过于此。如果上天给我一个再来一次的机会，我会对那个女孩说三个字: 我爱你，如果非要在这份爱上面加个期限，我希望是  ...一万年。,242
2017-04-10 06:35:31,俗在骨,3,我真的不欠谁的电影票 别跟我提情怀 你就是想圈钱,450
2016-12-23 19:10:41,雨果,4,至尊宝在救晶晶时光倒流的路上，爱上了紫霞的故事。紫霞天真的爱情真的很感人。经典台词也一堆。在心里留下了一滴眼泪；我猜到了开头猜不到结尾~~~问题是，至尊宝被晶晶她姐杀了，看到心里的眼泪，那里他不是死了么？虽然15年后重看，发现很多漏洞和粗糙，仍然瑕不掩瑜。,73
2018-01-17 13:48:26,豆辛瓜辛,4,好像一遍真的看不懂，可能阅历不够吧，什么时候看了第二遍第三遍…懂了后，我会再来。,76
2012-01-17 14:54:07,阅微草堂,1,只是一个应错阳差的片子，至于么？慢慢理解了流行其实就是一个蝴蝶效应,739
2017-04-15 20:55:34,西楼尘,3,那天我凤冠霞帔，你意气风发，驾七彩祥云却没来娶我。那日我大战群魔，你泪水涟涟，戴着紧箍圈却放了手。这一世品尝了所有爱恨苦楚，架着金箍棒转身。从此黄沙漫漫，再没有一个姑娘在脚底点上三颗痣，嚣叫着宣告主权。不会钻进心脏，流下明知南墙偏要撞的眼泪。从此后世流传我们相爱的秘闻，只有开头。,246
2006-01-02 15:05:32,寂地,5,"哈哈,也是我最喜欢的电影之一了.看过好几次,第一次看笑得半死,后来居然又看哭了.其实可以喜欢到不太想得起来.但是是值得永远收藏的.",917
2005-09-12 20:10:13,大头绿豆,5,请收藏粤语版。「2010」：1218，这么多年后重看，居然还是湿了。【2014】终于在大荧幕上看了。虽然是普通话。经得起这么多次的反刍，可以确认是经典了。想起东邪西毒重演时提前离场的对比，简直。,644
2008-02-19 15:19:26,宋阿慕,5,大话西游成就了一个时代.这句话一点也没错.不管是好的方面还是不好的方面.|人试图化身为天地，这本身就是一种不自量力。,729
2006-05-22 08:12:33,卡特兰,5,我想，应该不用说什么才对。,838
2005-07-12 16:50:16,Cherry,3,无法理解无厘头,375
2012-01-06 22:58:28,南笙,5,我在你心里是个句号还是一个惊叹号？,736
2017-02-25 14:09:55,爱情海,4,星爷的无厘头系列，明明是喜剧，看了却是流泪的，正是所谓的笑着流泪，一个人一生中的爱情可能只有一次，错过了就没了。,72
